epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,4937.27,1.14894,1.51155,0.00731,8e-05,0.79289,0.66676,0.69966,0.50083,1.13599,1.6365,0.00942,1e-05,0.000970919,0.000970919,0.000970919
38,5059.02,1.16532,1.52354,0.00753,0.00016,0.7956,0.68426,0.71463,0.51284,1.1197,1.5897,0.00942,2e-05,0.000938823,0.000938823,0.000938823
39,5178.54,1.1607,1.51312,0.00758,0.00011,0.79189,0.67807,0.71167,0.51077,1.11737,1.63294,0.00934,1e-05,0.000906577,0.000906577,0.000906577
40,5312.68,1.14405,1.48911,0.00741,0.00011,0.79598,0.67887,0.71858,0.51437,1.11565,1.63018,0.00945,2e-05,0.000874231,0.000874231,0.000874231
41,5434.23,1.14005,1.47665,0.00739,5e-05,0.7949,0.68893,0.71841,0.51704,1.11091,1.58478,0.00927,1e-05,0.000841835,0.000841835,0.000841835
42,5554.25,1.16167,1.49255,0.00753,8e-05,0.79103,0.68701,0.71942,0.51853,1.10544,1.61024,0.00936,1e-05,0.000809439,0.000809439,0.000809439
43,5676.93,1.14264,1.47531,0.00744,0.0001,0.79614,0.68717,0.72024,0.51803,1.10498,1.5947,0.00933,1e-05,0.000777093,0.000777093,0.000777093
44,5797.61,1.12435,1.44273,0.0074,5e-05,0.79579,0.68785,0.71557,0.51671,1.10618,1.58526,0.00938,1e-05,0.000744847,0.000744847,0.000744847
45,5916.99,1.13955,1.4519,0.00745,0.00018,0.78989,0.68898,0.71832,0.51921,1.10241,1.59483,0.00934,2e-05,0.000712751,0.000712751,0.000712751
46,6040.31,1.13008,1.44213,0.00743,9e-05,0.80125,0.68313,0.71536,0.51772,1.10031,1.58641,0.00937,1e-05,0.000680853,0.000680853,0.000680853
47,6171.52,1.13329,1.44443,0.00745,0.0001,0.79935,0.68652,0.71642,0.51942,1.10241,1.59124,0.00931,1e-05,0.000649204,0.000649204,0.000649204
48,6293.19,1.11801,1.42681,0.00748,5e-05,0.79967,0.69002,0.72058,0.52151,1.09986,1.58359,0.00935,1e-05,0.000617852,0.000617852,0.000617852
49,6429.44,1.09797,1.39259,0.00724,8e-05,0.803,0.6849,0.71364,0.51677,1.1049,1.58986,0.00936,1e-05,0.000586845,0.000586845,0.000586845
50,6554.58,1.11014,1.39922,0.00735,6e-05,0.79855,0.68525,0.71914,0.51982,1.10187,1.60197,0.00934,1e-05,0.000556231,0.000556231,0.000556231
51,6674.79,1.11561,1.40383,0.00749,6e-05,0.79977,0.68227,0.71569,0.51956,1.0989,1.59689,0.00939,1e-05,0.000526058,0.000526058,0.000526058
52,6813.26,1.09935,1.38822,0.00732,6e-05,0.80109,0.68393,0.71817,0.52024,1.10101,1.60053,0.00942,1e-05,0.000496372,0.000496372,0.000496372
53,6930.49,1.11557,1.3857,0.0075,7e-05,0.80096,0.69154,0.72432,0.52301,1.09757,1.57729,0.00938,1e-05,0.000467218,0.000467218,0.000467218
54,7055.63,1.10516,1.37919,0.00729,4e-05,0.8041,0.68673,0.72341,0.52388,1.09412,1.57491,0.00932,1e-05,0.000438642,0.000438642,0.000438642
55,7178.98,1.10852,1.37905,0.00753,3e-05,0.79948,0.68769,0.71947,0.52132,1.09732,1.581,0.00931,1e-05,0.000410687,0.000410687,0.000410687
56,7298.41,1.10032,1.36152,0.00744,6e-05,0.80155,0.68853,0.72315,0.52412,1.09236,1.58292,0.00936,1e-05,0.000383398,0.000383398,0.000383398
57,7417.32,1.09175,1.33924,0.00739,7e-05,0.79337,0.68677,0.7122,0.51856,1.09715,1.59118,0.00934,1e-05,0.000356815,0.000356815,0.000356815
58,7538.01,1.09268,1.34588,0.00738,3e-05,0.79881,0.6928,0.72752,0.52829,1.08997,1.58534,0.00931,1e-05,0.00033098,0.00033098,0.00033098
59,7666.69,1.08315,1.33679,0.00721,3e-05,0.79862,0.68689,0.71635,0.52025,1.09807,1.59504,0.00935,1e-05,0.000305933,0.000305933,0.000305933
60,7791.16,1.087,1.3375,0.00735,3e-05,0.80242,0.68848,0.72124,0.52522,1.08905,1.57631,0.00929,1e-05,0.000281712,0.000281712,0.000281712
61,7920.88,1.06941,1.31082,0.00758,3e-05,0.80121,0.69019,0.72431,0.52556,1.09255,1.58541,0.00937,1e-05,0.000258355,0.000258355,0.000258355
62,8056.5,1.05196,1.28015,0.00742,2e-05,0.80488,0.68498,0.72054,0.52157,1.09702,1.60047,0.00933,1e-05,0.000235898,0.000235898,0.000235898
63,8178.82,1.04427,1.27054,0.00736,2e-05,0.80397,0.68795,0.72388,0.5238,1.09481,1.58783,0.00933,1e-05,0.000214375,0.000214375,0.000214375
64,8308.56,1.04906,1.2634,0.00742,3e-05,0.79595,0.69268,0.72667,0.52449,1.09691,1.59654,0.00937,1e-05,0.000193819,0.000193819,0.000193819
65,8424.69,1.04787,1.26051,0.00749,2e-05,0.80211,0.68928,0.7212,0.5236,1.0946,1.58893,0.00933,1e-05,0.000174262,0.000174262,0.000174262
66,8544.21,1.04173,1.25018,0.00743,3e-05,0.80429,0.68549,0.72302,0.52396,1.09687,1.60631,0.00934,1e-05,0.000155735,0.000155735,0.000155735
67,8658.72,1.04857,1.25257,0.00753,2e-05,0.80081,0.68864,0.72069,0.52294,1.0929,1.59396,0.00935,1e-05,0.000138266,0.000138266,0.000138266
68,8782.8,1.0278,1.23548,0.00733,2e-05,0.80173,0.68609,0.7202,0.52492,1.09111,1.60031,0.00936,1e-05,0.000121882,0.000121882,0.000121882
69,8895.83,1.05036,1.25447,0.00759,1e-05,0.80365,0.68947,0.72443,0.52581,1.08914,1.58425,0.00937,1e-05,0.000106608,0.000106608,0.000106608
70,9012.01,1.03277,1.23121,0.00745,1e-05,0.80609,0.68664,0.72102,0.5253,1.08917,1.58613,0.00935,1e-05,9.2467e-05,9.2467e-05,9.2467e-05
71,9137.12,1.02876,1.21741,0.00739,2e-05,0.80188,0.69047,0.72042,0.52437,1.09161,1.59512,0.00937,1e-05,7.94819e-05,7.94819e-05,7.94819e-05
72,9255.17,1.03335,1.22847,0.00745,1e-05,0.80298,0.6891,0.72102,0.52468,1.09107,1.59801,0.00938,1e-05,6.76723e-05,6.76723e-05,6.76723e-05
73,9369.69,1.0432,1.23752,0.00757,1e-05,0.80801,0.6886,0.72162,0.52598,1.08822,1.59346,0.00937,1e-05,5.70564e-05,5.70564e-05,5.70564e-05
74,9492.8,1.0246,1.21996,0.00734,1e-05,0.80537,0.68713,0.71785,0.52385,1.09175,1.59978,0.00937,1e-05,4.76506e-05,4.76506e-05,4.76506e-05
75,9659.27,1.02243,1.2195,0.00736,1e-05,0.80632,0.68642,0.72085,0.52394,1.09454,1.60183,0.00939,1e-05,3.94694e-05,3.94694e-05,3.94694e-05
76,9778.72,1.02475,1.21188,0.00739,1e-05,0.8034,0.68956,0.72087,0.52466,1.09115,1.60075,0.00938,1e-05,3.25253e-05,3.25253e-05,3.25253e-05
77,9903.7,1.01599,1.21048,0.00725,1e-05,0.80255,0.68766,0.72044,0.52418,1.09363,1.60823,0.00937,1e-05,2.68292e-05,2.68292e-05,2.68292e-05
78,10021,1.03256,1.22424,0.00745,1e-05,0.80327,0.68847,0.72063,0.52422,1.09312,1.60536,0.00937,1e-05,2.23897e-05,2.23897e-05,2.23897e-05
79,10141.1,1.0255,1.21255,0.00743,1e-05,0.80462,0.68833,0.72093,0.52512,1.0899,1.59881,0.00936,1e-05,1.92137e-05,1.92137e-05,1.92137e-05
80,10259.8,1.0243,1.21015,0.00738,1e-05,0.80528,0.6876,0.7209,0.52517,1.09047,1.59817,0.00937,1e-05,1.73062e-05,1.73062e-05,1.73062e-05
